,base,snap,calc,ex_en,osc
64,/home/share/wesolowski/NR_CGE_HUJI,314,5_Angstroms/emb1,3.320597,2.543253
65,/home/share/wesolowski/NR_CGE_HUJI,315,5_Angstroms/emb1,3.503004,2.645111
66,/home/share/wesolowski/NR_CGE_HUJI,316,5_Angstroms/emb1,3.521768,2.632463
67,/home/share/wesolowski/NR_CGE_HUJI,317,5_Angstroms/emb1,3.257159,2.618129
68,/home/share/wesolowski/NR_CGE_HUJI,318,5_Angstroms/emb1,3.296464,2.645182
69,/home/share/wesolowski/NR_CGE_HUJI,319,5_Angstroms/emb1,3.380059,2.533232
70,/home/share/wesolowski/NR_CGE_HUJI,320,5_Angstroms/emb1,3.575758,2.542229
71,/home/share/wesolowski/NR_CGE_HUJI,321,5_Angstroms/emb1,3.150631,2.514886
72,/home/share/wesolowski/NR_CGE_HUJI,322,5_Angstroms/emb1,3.153967,2.590003
73,/home/share/wesolowski/NR_CGE_HUJI,323,5_Angstroms/emb1,3.361438,2.501774
74,/home/share/wesolowski/NR_CGE_HUJI,324,5_Angstroms/emb1,3.393133,2.530692
75,/home/share/wesolowski/NR_CGE_HUJI,325,5_Angstroms/emb1,3.589148,2.589251
76,/home/share/wesolowski/NR_CGE_HUJI,326,5_Angstroms/emb1,3.232408,2.523733
77,/home/share/wesolowski/NR_CGE_HUJI,327,5_Angstroms/emb1,3.309095,2.507077
78,/home/share/wesolowski/NR_CGE_HUJI,328,5_Angstroms/emb1,3.672452,2.414269
79,/home/share/wesolowski/NR_CGE_HUJI,329,5_Angstroms/emb1,3.201278,2.704596
80,/home/share/wesolowski/NR_CGE_HUJI,330,5_Angstroms/emb1,3.318659,2.301126
81,/home/share/wesolowski/NR_CGE_HUJI,331,5_Angstroms/emb1,3.499453,2.595944
82,/home/share/wesolowski/NR_CGE_HUJI,332,5_Angstroms/emb1,3.640498,2.360965
83,/home/share/wesolowski/NR_CGE_HUJI,333,5_Angstroms/emb1,3.537958,2.482216
84,/home/share/wesolowski/NR_CGE_HUJI,334,5_Angstroms/emb1,3.636504,2.53814
85,/home/share/wesolowski/NR_CGE_HUJI,335,5_Angstroms/emb1,3.418859,2.494203
86,/home/share/wesolowski/NR_CGE_HUJI,336,5_Angstroms/emb1,3.278256,2.403518
87,/home/share/wesolowski/NR_CGE_HUJI,337,5_Angstroms/emb1,3.421155,2.484207
88,/home/share/wesolowski/NR_CGE_HUJI,338,5_Angstroms/emb1,3.045311,2.488574
89,/home/share/wesolowski/NR_CGE_HUJI,339,5_Angstroms/emb1,3.561084,2.572379
90,/home/share/wesolowski/NR_CGE_HUJI,340,5_Angstroms/emb1,3.51675,2.570113
91,/home/share/wesolowski/NR_CGE_HUJI,341,5_Angstroms/emb1,3.807872,2.567852
92,/home/share/wesolowski/NR_CGE_HUJI,342,5_Angstroms/emb1,3.74663,2.579437
93,/home/share/wesolowski/NR_CGE_HUJI,343,5_Angstroms/emb1,3.453232,2.469684
94,/home/share/wesolowski/NR_CGE_HUJI,344,5_Angstroms/emb1,3.318745,2.591292
95,/home/share/wesolowski/NR_CGE_HUJI,345,5_Angstroms/emb1,3.655688,2.591243
96,/home/share/wesolowski/NR_CGE_HUJI,346,5_Angstroms/emb1,3.682901,2.605213
97,/home/share/wesolowski/NR_CGE_HUJI,347,5_Angstroms/emb1,3.646027,2.597115
98,/home/share/wesolowski/NR_CGE_HUJI,348,5_Angstroms/emb1,3.466755,2.545364
99,/home/share/wesolowski/NR_CGE_HUJI,349,5_Angstroms/emb1,3.143668,2.647958
100,/home/share/wesolowski/NR_CGE_HUJI,350,5_Angstroms/emb1,3.12701,2.498693
101,/home/share/wesolowski/NR_CGE_HUJI,351,5_Angstroms/emb1,3.48789,2.683472
102,/home/share/wesolowski/NR_CGE_HUJI,352,5_Angstroms/emb1,3.110157,2.573505
103,/home/share/wesolowski/NR_CGE_HUJI,353,5_Angstroms/emb1,3.419144,2.46036
104,/home/share/wesolowski/NR_CGE_HUJI,354,5_Angstroms/emb1,3.181343,2.677088
105,/home/share/wesolowski/NR_CGE_HUJI,355,5_Angstroms/emb1,3.287642,2.480016
106,/home/share/wesolowski/NR_CGE_HUJI,356,5_Angstroms/emb1,3.239104,2.44863
107,/home/share/wesolowski/NR_CGE_HUJI,357,5_Angstroms/emb1,3.523487,2.501147
108,/home/share/wesolowski/NR_CGE_HUJI,358,5_Angstroms/emb1,3.372392,2.6102
109,/home/share/wesolowski/NR_CGE_HUJI,359,5_Angstroms/emb1,3.580706,2.565132
