,base,snap,calc,SCF,ex_en,osc
66,/home/share/wesolowski/NR_CGE_HUJI,316,iso1,-985.12948708,3.128786,2.484653
67,/home/share/wesolowski/NR_CGE_HUJI,317,iso1,-985.13054411,2.892209,2.491342
68,/home/share/wesolowski/NR_CGE_HUJI,318,iso1,-985.13270501,2.971333,2.522032
69,/home/share/wesolowski/NR_CGE_HUJI,319,iso1,-985.12799443,2.925703,2.420892
70,/home/share/wesolowski/NR_CGE_HUJI,320,iso1,-985.14079231,3.096426,2.340046
71,/home/share/wesolowski/NR_CGE_HUJI,321,iso1,-985.15117171,2.8234,2.400421
72,/home/share/wesolowski/NR_CGE_HUJI,322,iso1,-985.13842341,2.861627,2.509884
73,/home/share/wesolowski/NR_CGE_HUJI,323,iso1,-985.1291154,3.029006,2.390497
74,/home/share/wesolowski/NR_CGE_HUJI,324,iso1,-985.14263397,3.065303,2.42941
75,/home/share/wesolowski/NR_CGE_HUJI,325,iso1,-985.14795175,3.103929,2.40668
76,/home/share/wesolowski/NR_CGE_HUJI,326,iso1,-985.1302983,2.862172,2.440723
77,/home/share/wesolowski/NR_CGE_HUJI,327,iso1,-985.13145501,2.959277,2.411503
78,/home/share/wesolowski/NR_CGE_HUJI,328,iso1,-985.11321667,3.202891,2.193559
79,/home/share/wesolowski/NR_CGE_HUJI,329,iso1,-985.13903858,2.8258,2.590991
80,/home/share/wesolowski/NR_CGE_HUJI,330,iso1,-985.09994523,2.859336,2.168228
81,/home/share/wesolowski/NR_CGE_HUJI,331,iso1,-985.12909383,3.064493,2.39019
82,/home/share/wesolowski/NR_CGE_HUJI,332,iso1,-985.12958741,3.200046,2.222343
83,/home/share/wesolowski/NR_CGE_HUJI,333,iso1,-985.13236018,3.068516,2.297187
84,/home/share/wesolowski/NR_CGE_HUJI,334,iso1,-985.12109981,3.16582,2.348013
85,/home/share/wesolowski/NR_CGE_HUJI,335,iso1,-985.12284307,3.035157,2.387306
86,/home/share/wesolowski/NR_CGE_HUJI,336,iso1,-985.13206812,2.910885,2.345829
87,/home/share/wesolowski/NR_CGE_HUJI,337,iso1,-985.13243848,2.978461,2.30705
88,/home/share/wesolowski/NR_CGE_HUJI,338,iso1,-985.12996434,2.821411,2.37575
89,/home/share/wesolowski/NR_CGE_HUJI,339,iso1,-985.12975658,3.033077,2.361701
90,/home/share/wesolowski/NR_CGE_HUJI,340,iso1,-985.12208742,3.105854,2.424759
91,/home/share/wesolowski/NR_CGE_HUJI,341,iso1,-985.13551893,3.349608,2.366547
92,/home/share/wesolowski/NR_CGE_HUJI,342,iso1,-985.13841862,3.308742,2.393603
93,/home/share/wesolowski/NR_CGE_HUJI,343,iso1,-985.11906192,3.088539,2.345728
94,/home/share/wesolowski/NR_CGE_HUJI,344,iso1,-985.1433573,2.938199,2.480509
95,/home/share/wesolowski/NR_CGE_HUJI,345,iso1,-985.13894681,3.183084,2.359603
96,/home/share/wesolowski/NR_CGE_HUJI,346,iso1,-985.12664115,3.222143,2.363235
97,/home/share/wesolowski/NR_CGE_HUJI,347,iso1,-985.127667,3.213663,2.403281
98,/home/share/wesolowski/NR_CGE_HUJI,348,iso1,-985.14010017,3.057995,2.416077
